source_name,sample_name,organism,material_type,spaceflight,protocol,preservation_method,Sample Storage Temperature,Unit
RR1_BSL_M4,Mmus_C57-6J_LVR_RR1_BSL_wERCC_Rep1_M4,Mus musculus,Liver,Basal Control,Animal Husbandry,Liquid Nitrogen,-80,week
RR1_BSL_M5,Mmus_C57-6J_LVR_RR1_BSL_wERCC_Rep2_M5,Mus musculus,Liver,Basal Control,Animal Husbandry,Liquid Nitrogen,-80,week
RR1_BSL_M7,Mmus_C57-6J_LVR_RR1_BSL_wERCC_Rep3_M7,Mus musculus,Liver,Basal Control,Animal Husbandry,Liquid Nitrogen,-80,week
RR1_BSL_M8,Mmus_C57-6J_LVR_RR1_BSL_wERCC_Rep4_M8,Mus musculus,Liver,Basal Control,Animal Husbandry,Liquid Nitrogen,-80,week
RR1_BSL_M10,Mmus_C57-6J_LVR_RR1_BSL_wERCC_Rep5_M10,Mus musculus,Liver,Basal Control,Animal Husbandry,Liquid Nitrogen,-80,week
RR1_BSL_M4,Mmus_C57-6J_LVR_RR1_BSL_noERCC_Rep1_M4,Mus musculus,Liver,Basal Control,Animal Husbandry,Liquid Nitrogen,-80,week
RR1_BSL_M5,Mmus_C57-6J_LVR_RR1_BSL_noERCC_Rep2_M5,Mus musculus,Liver,Basal Control,Animal Husbandry,Liquid Nitrogen,-80,week
RR1_BSL_M7,Mmus_C57-6J_LVR_RR1_BSL_noERCC_Rep3_M7,Mus musculus,Liver,Basal Control,Animal Husbandry,Liquid Nitrogen,-80,week
RR1_BSL_M8,Mmus_C57-6J_LVR_RR1_BSL_noERCC_Rep4_M8,Mus musculus,Liver,Basal Control,Animal Husbandry,Liquid Nitrogen,-80,week
RR1_BSL_M10,Mmus_C57-6J_LVR_RR1_BSL_noERCC_Rep5_M10,Mus musculus,Liver,Basal Control,Animal Husbandry,Liquid Nitrogen,-80,week
