Source Name	Sample Name	Characteristics[organism]	Term Source REF	Term Accession Number	Characteristics[Strain]	Term Source REF	Term Accession Number	Characteristics[age]	Term Source REF	Term Accession Number	Characteristics[developmental stage]	Term Source REF	Term Accession Number	Characteristics[Material Type]	Term Source REF	Term Accession Number	Factor Value[Altered Gravity]	Term Source REF	Term Accession Number	Protocol REF	Protocol REF	Parameter Value[duration]	Unit	Term Source REF	Term Accession Number
3G 1	Drer_AB_wo_1G_Rep1	Danio rerio	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/7955	AB			5 days post fertilization			Larva	MESH	http://purl.bioontology.org/ontology/MESH/D007814	Whole Organism	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C13413	1G on Earth			P-MTAB-43156	P-MTAB-43157	24	hour	UO	http://purl.obolibrary.org/obo/UO_0000032
Con 3G 1	Drer_AB_wo_3G_Rep1	Danio rerio	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/7955	AB			5 days post fertilization			Larva	MESH	http://purl.bioontology.org/ontology/MESH/D007814	Whole Organism	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C13413	3G with centrifugation	OSD	https://osdr.nasa.gov/	P-MTAB-43156	P-MTAB-43157	24	hour	UO	http://purl.obolibrary.org/obo/UO_0000032
3G 2	Drer_AB_wo_1G_Rep2	Danio rerio	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/7955	AB			5 days post fertilization			Larva	MESH	http://purl.bioontology.org/ontology/MESH/D007814	Whole Organism	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C13413	1G on Earth			P-MTAB-43156	P-MTAB-43157	24	hour	UO	http://purl.obolibrary.org/obo/UO_0000032
Cont 3G 2	Drer_AB_wo_3G_Rep2	Danio rerio	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/7955	AB			5 days post fertilization			Larva	MESH	http://purl.bioontology.org/ontology/MESH/D007814	Whole Organism	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C13413	3G with centrifugation			P-MTAB-43156	P-MTAB-43157	24	hour	UO	http://purl.obolibrary.org/obo/UO_0000032
3G 3	Drer_AB_wo_1G_Rep3	Danio rerio	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/7955	AB			5 days post fertilization			Larva	MESH	http://purl.bioontology.org/ontology/MESH/D007814	Whole Organism	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C13413	1G on Earth			P-MTAB-43156	P-MTAB-43157	24	hour	UO	http://purl.obolibrary.org/obo/UO_0000032
Cont 3G 3	Drer_AB_wo_3G_Rep3	Danio rerio	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/7955	AB			5 days post fertilization			Larva	MESH	http://purl.bioontology.org/ontology/MESH/D007814	Whole Organism	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C13413	3G with centrifugation			P-MTAB-43156	P-MTAB-43157	24	hour	UO	http://purl.obolibrary.org/obo/UO_0000032
3G 4	Drer_AB_wo_1G_Rep4	Danio rerio	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/7955	AB			5 days post fertilization			Larva	MESH	http://purl.bioontology.org/ontology/MESH/D007814	Whole Organism	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C13413	1G on Earth			P-MTAB-43156	P-MTAB-43157	24	hour	UO	http://purl.obolibrary.org/obo/UO_0000032
Cont 3G 4	Drer_AB_wo_3G_Rep4	Danio rerio	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/7955	AB			5 days post fertilization			Larva	MESH	http://purl.bioontology.org/ontology/MESH/D007814	Whole Organism	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C13413	3G with centrifugation			P-MTAB-43156	P-MTAB-43157	24	hour	UO	http://purl.obolibrary.org/obo/UO_0000032
5G 1	Drer_AB_wo_1G_Rep5	Danio rerio	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/7955	AB			5 days post fertilization			Larva	MESH	http://purl.bioontology.org/ontology/MESH/D007814	Whole Organism	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C13413	1G on Earth			P-MTAB-43156	P-MTAB-43157	24	hour	UO	http://purl.obolibrary.org/obo/UO_0000032
Cont 5G 1	Drer_AB_wo_5G_Rep1	Danio rerio	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/7955	AB			5 days post fertilization			Larva	MESH	http://purl.bioontology.org/ontology/MESH/D007814	Whole Organism	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C13413	3G with centrifugation			P-MTAB-43156	P-MTAB-43157	24	hour	UO	http://purl.obolibrary.org/obo/UO_0000032
