Source Name	Sample Name	Characteristics[Organism]	Term Source REF	Term Accession Number	Characteristics[Material Type]	Term Source REF	Term Accession Number	Factor Value[Spaceflight]	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Collection Dates]	Parameter Value[Sample Preservation Method]	Term Source REF	Term Accession Number	Parameter Value[Sample Storage Temperature]	Unit	Term Source REF	Term Accession Number
1-F4_S2	1-F4_S2	Microbiota	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/13613	Cells	MESH	http://purl.bioontology.org/ontology/MESH/D002477	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	sample collection	04-MAR-2015 and 15-MAY-2015	sterile zip lock bag	OSD	https://osdr.nasa.gov/	4	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
1P-F4P_S1	1P-F4P_S1	Microbiota	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/13613	Cells	MESH	http://purl.bioontology.org/ontology/MESH/D002477	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	sample collection	04-MAR-2015 and 15-MAY-2015	sterile zip lock bag	OSD	https://osdr.nasa.gov/	4	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
2-F5_S4	2-F5_S4	Microbiota	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/13613	Cells	MESH	http://purl.bioontology.org/ontology/MESH/D002477	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	sample collection	04-MAR-2015 and 15-MAY-2015	sterile zip lock bag	OSD	https://osdr.nasa.gov/	4	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
2P-F5P_S3	2P-F5P_S3	Microbiota	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/13613	Cells	MESH	http://purl.bioontology.org/ontology/MESH/D002477	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	sample collection	04-MAR-2015 and 15-MAY-2015	sterile zip lock bag	OSD	https://osdr.nasa.gov/	4	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
3-F6_S5	3-F6_S5	Microbiota	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/13613	Cells	MESH	http://purl.bioontology.org/ontology/MESH/D002477	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	sample collection	04-MAR-2015 and 15-MAY-2015	sterile zip lock bag	OSD	https://osdr.nasa.gov/	4	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
3P-F6P_S8	3P-F6P_S8	Microbiota	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/13613	Cells	MESH	http://purl.bioontology.org/ontology/MESH/D002477	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	sample collection	04-MAR-2015 and 15-MAY-2015	sterile zip lock bag	OSD	https://osdr.nasa.gov/	4	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
4-F7_S6	4-F7_S6	Microbiota	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/13613	Cells	MESH	http://purl.bioontology.org/ontology/MESH/D002477	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	sample collection	04-MAR-2015 and 15-MAY-2015	sterile zip lock bag	OSD	https://osdr.nasa.gov/	4	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
4P-F7P_S9	4P-F7P_S9	Microbiota	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/13613	Cells	MESH	http://purl.bioontology.org/ontology/MESH/D002477	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	sample collection	04-MAR-2015 and 15-MAY-2015	sterile zip lock bag	OSD	https://osdr.nasa.gov/	4	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
5-F8_S7	5-F8_S7	Microbiota	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/13613	Cells	MESH	http://purl.bioontology.org/ontology/MESH/D002477	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	sample collection	04-MAR-2015 and 15-MAY-2015	sterile zip lock bag	OSD	https://osdr.nasa.gov/	4	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
5P-F7P_S15	5P-F7P_S15	Microbiota	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/13613	Cells	MESH	http://purl.bioontology.org/ontology/MESH/D002477	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	sample collection	04-MAR-2015 and 15-MAY-2015	sterile zip lock bag	OSD	https://osdr.nasa.gov/	4	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
